,구분,에볼라바이러스병,마버그열,라싸열,크리미안콩고출혈열,남아메리카출혈열,리프트밸리열,두창,페스트,탄저,보툴리눔독소증,야토병,신종감염병증후군,중증급성호흡기증후군(SARS),중동호흡기증후군(MERS),동물인플루엔자 인체감염증,신종인플루엔자,디프테리아,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(2018년이전),풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균속균종(CRE) 감염증,E형간염,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증
184,울산중구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.124999999999995,0.01375,0.0,0.013125,0.0,0.0,0.01375,0.5040625000000001,0.04,3.274375,0.0,0.0,0.0,0.0,0.0,0.0,0.0396875,0.0,3.155937499999999,0.0,0.0,0.0,0.0,0.1075,0.0,1.3375000000000006,0.01375,0.01375,0.01375,0.0,0.0,0.649375,0.0,0.0,0.0,0.0,0.013125,0.0,0.01375,0.02625,0.0,0.0,0.0,0.01375,0.0,0.040625,0.0
185,인천강화군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.536875,0.0,0.0,0.0,0.0,0.0,0.0453125,2.98875,0.18125,1.13375,0.0,0.0,0.0,0.0,0.0,0.0,0.18156250000000002,0.0,0.1359375,0.0,0.0,0.18125,0.0453125,0.090625,0.0,1.4503125000000001,1.9490624999999997,0.0453125,0.0453125,0.0,0.0453125,0.31718749999999996,0.0,0.0,0.0,0.18156250000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359375,0.0
186,인천계양구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.772187499999999,0.0,0.0,0.01,0.01,0.029375,0.0,1.3321874999999996,0.0684375,1.9468749999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.15812500000000004,0.0,1.2603124999999997,0.0,0.0,0.01,0.0,0.0196875,0.0,1.3309374999999999,0.25875000000000004,0.08906249999999999,0.0,0.0,0.01,0.0496875,0.0,0.0,0.0,0.0096875,0.0203125,0.0,0.0296875,0.0196875,0.0,0.0,0.0,0.01,0.0,0.01,0.01
187,인천남동구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.087500000000002,0.0059375,0.0,0.041562499999999995,0.0,0.05249999999999999,0.0353125,1.6237500000000002,0.081875,1.7306249999999996,0.0,0.0,0.0,0.0,0.0059375,0.0,0.09968749999999998,0.0,1.2887499999999998,0.0,0.0,0.0059375,0.0,0.08843749999999999,0.0059375,2.2575000000000003,0.099375,0.088125,0.0,0.0,0.0,0.0646875,0.0296875,0.0,0.0,0.017812500000000002,0.011875,0.0,0.02375,0.0,0.0,0.0059375,0.0,0.0,0.0059375,0.011875,0.0
188,인천동구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.119375000000002,0.0,0.0,0.0478125,0.0,0.14,0.0478125,1.2356250000000002,0.279375,2.1250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0478125,0.0,0.8887500000000002,0.0,0.0,0.0,0.0,0.0459375,0.0,4.485312500000001,0.0478125,0.09375,0.0,0.0,0.09375,0.4671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459375,0.0
189,인천미추홀구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.789375,0.0075,0.0,0.0,0.0,0.0675,0.06812499999999999,1.436875,0.14968750000000003,2.136562500000001,0.0,0.0,0.0,0.0,0.0075,0.0,0.2400000000000001,0.0,1.7665625000000003,0.0,0.0,0.0,0.0075,0.0753125,0.0,4.234375,0.0975,0.15750000000000003,0.015,0.0,0.0075,0.11281250000000001,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0225,0.0,0.0075,0.0,0.0,0.0075,0.0,0.0
190,인천부평구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.229375000000003,0.0059375,0.0,0.017812500000000002,0.0059375,0.011875,0.011875,1.389375,0.05968749999999999,1.9459374999999999,0.0,0.0,0.0059375,0.0,0.0059375,0.0,0.05968749999999999,0.0,1.0740625,0.0,0.0,0.0121875,0.0,0.05968749999999999,0.0,2.045,0.0821875,0.078125,0.0,0.0,0.0,0.076875,0.0059375,0.0,0.0,0.017812500000000002,0.0,0.0,0.02375,0.0059375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,인천서구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.376562500000002,0.028749999999999998,0.0,0.0059375,0.0,0.0115625,0.046875,1.5803124999999996,0.041249999999999995,3.3146874999999993,0.0,0.0,0.0,0.0,0.0059375,0.0,0.028437499999999998,0.0,1.17875,0.0,0.0,0.0,0.0,0.040312499999999994,0.0,1.4687499999999998,0.3378125,0.04625,0.011875,0.0,0.005625,0.12875000000000003,0.005625,0.0,0.0,0.034375,0.0,0.0,0.069375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005625
192,인천연수구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7484375,0.0,0.0,0.0890625,0.0175,0.00875,0.061562500000000006,1.4265625000000006,0.0715625,2.9087500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.08125000000000002,0.0,1.7990625000000005,0.0,0.0,0.0,0.0090625,0.09781250000000002,0.0,2.4759375000000006,0.24000000000000005,0.0534375,0.0090625,0.0,0.0175,0.09000000000000002,0.0090625,0.0,0.0,0.026562500000000003,0.00875,0.0,0.026250000000000002,0.0090625,0.0,0.03625,0.0,0.0,0.0,0.0,0.0
193,인천옹진군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.850312500000001,0.0,0.0,0.0,0.0,0.0,0.0,1.2021875,0.0,0.886875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1768750000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.7128125,0.5974999999999999,0.0,0.0,0.0,0.0,3.4121875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
